Function,Rank,Algorithm,Mean_Value,Regret
F1,1,Gr-VS,1694488338116.5144,1694488338016.5144
F1,2,GrVS-Mapping-BO,2542108528299.681,2542108528199.681
F1,3,GrVS-NoExplicit-TailFilter-BO,2589828471118.4365,2589828471018.4365
F1,4,GrVS-TopK-TailFilter-BO,2654231194971.378,2654231194871.378
F1,5,BAxUS,2834434066296.518,2834434066196.518
F1,6,REMBO,2853342633104.849,2853342633004.849
F1,7,Add-GP-UCB,2978278884665.9614,2978278884565.9614
F1,8,ALEBO,3009626349629.0186,3009626349529.0186
F5,1,Gr-VS,2067.1024663035787,1567.1024663035787
F5,2,BAxUS,2166.6540213768726,1666.6540213768726
F5,3,GrVS-NoExplicit-TailFilter-BO,2225.549451986597,1725.549451986597
F5,4,GrVS-TopK-TailFilter-BO,2226.277542111774,1726.277542111774
F5,5,REMBO,2227.1840917489717,1727.1840917489717
F5,6,GrVS-Mapping-BO,2249.198187337172,1749.198187337172
F5,7,ALEBO,2284.5807533675907,1784.5807533675907
F5,8,Add-GP-UCB,2384.192328811685,1884.192328811685
F10,1,Gr-VS,32265.3027594811,31265.3027594811
F10,2,GrVS-NoExplicit-TailFilter-BO,33786.92131691321,32786.92131691321
F10,3,REMBO,34097.62828090918,33097.62828090918
F10,4,GrVS-TopK-TailFilter-BO,34132.11526634604,33132.11526634604
F10,5,GrVS-Mapping-BO,34742.905618023426,33742.905618023426
F10,6,BAxUS,34746.990564414074,33746.990564414074
F10,7,Add-GP-UCB,36385.541522427135,35385.541522427135
F10,8,ALEBO,37029.91377120027,36029.91377120027
F15,1,Gr-VS,151029279533.21576,151029278033.21576
F15,2,GrVS-TopK-TailFilter-BO,261233537851.3514,261233536351.3514
F15,3,GrVS-Mapping-BO,275097988735.53455,275097987235.53455
F15,4,GrVS-NoExplicit-TailFilter-BO,293368314924.06775,293368313424.06775
F15,5,REMBO,328110646055.938,328110644555.938
F15,6,BAxUS,375954901031.6626,375954899531.6626
F15,7,ALEBO,399442188967.2435,399442187467.2435
F15,8,Add-GP-UCB,414752837155.48267,414752835655.48267
F20,1,GrVS-Mapping-BO,8198.038883965033,6198.038883965033
F20,2,Gr-VS,8239.49501343165,6239.49501343165
F20,3,GrVS-TopK-TailFilter-BO,8654.570364831456,6654.570364831456
F20,4,GrVS-NoExplicit-TailFilter-BO,8685.296860243328,6685.296860243328
F20,5,BAxUS,8892.802919920387,6892.802919920387
F20,6,Add-GP-UCB,9112.23924618449,7112.23924618449
F20,7,REMBO,9132.745399543348,7132.745399543348
F20,8,ALEBO,9343.292903227306,7343.292903227306
F25,1,Gr-VS,21002.728896835604,18502.728896835604
F25,2,GrVS-NoExplicit-TailFilter-BO,27854.650594584702,25354.650594584702
F25,3,GrVS-Mapping-BO,28363.63343797037,25863.63343797037
F25,4,GrVS-TopK-TailFilter-BO,28742.811983752916,26242.811983752916
F25,5,REMBO,30296.311305261886,27796.311305261886
F25,6,BAxUS,32563.81370318102,30063.81370318102
F25,7,ALEBO,35236.4803177104,32736.480317710397
F25,8,Add-GP-UCB,35904.147462688015,33404.147462688015
F30,1,Gr-VS,244911652343.68115,244911649343.68115
F30,2,GrVS-Mapping-BO,402865524915.3494,402865521915.3494
F30,3,GrVS-TopK-TailFilter-BO,407555463337.094,407555460337.094
F30,4,GrVS-NoExplicit-TailFilter-BO,415207725974.98566,415207722974.98566
F30,5,REMBO,437871607564.89514,437871604564.89514
F30,6,BAxUS,528639013077.0174,528639010077.0174
F30,7,ALEBO,534246761119.0335,534246758119.0335
F30,8,Add-GP-UCB,567278182348.9463,567278179348.9463
